Threshold,Precision,Recall,F1_Score,True_Positives,False_Positives,False_Negatives,Experiment,Model_Config
0.05,0.312,0.537,0.395,20800,45788,17959,A,A (YOLO11n-640)
0.1,0.424,0.504,0.46,19534,26573,19225,A,A (YOLO11n-640)
0.15,0.515,0.472,0.492,18287,17232,20472,A,A (YOLO11n-640)
0.2,0.595,0.44,0.505,17040,11622,21719,A,A (YOLO11n-640)
0.25,0.663,0.407,0.504,15765,8026,22994,A,A (YOLO11n-640)
0.3,0.719,0.377,0.495,14612,5697,24147,A,A (YOLO11n-640)
0.35,0.77,0.349,0.48,13515,4026,25244,A,A (YOLO11n-640)
0.4,0.812,0.319,0.458,12362,2867,26397,A,A (YOLO11n-640)
0.45,0.848,0.291,0.433,11267,2022,27492,A,A (YOLO11n-640)
0.5,0.876,0.262,0.403,10136,1436,28623,A,A (YOLO11n-640)
0.55,0.901,0.235,0.372,9090,997,29669,A,A (YOLO11n-640)
0.6,0.919,0.209,0.341,8108,715,30651,A,A (YOLO11n-640)
0.65,0.931,0.184,0.308,7148,526,31611,A,A (YOLO11n-640)
0.7,0.945,0.157,0.27,6096,353,32663,A,A (YOLO11n-640)
0.75,0.958,0.127,0.224,4926,216,33833,A,A (YOLO11n-640)
0.8,0.966,0.093,0.17,3604,125,35155,A,A (YOLO11n-640)
0.85,0.971,0.049,0.093,1898,56,36861,A,A (YOLO11n-640)
0.9,0.977,0.009,0.017,338,8,38421,A,A (YOLO11n-640)
0.95,0.8,0.0,0.0,4,1,38755,A,A (YOLO11n-640)
0.05,0.428,0.705,0.533,27325,36507,11434,B1,B1 (YOLO11s-960)
0.1,0.535,0.678,0.598,26276,22854,12483,B1,B1 (YOLO11s-960)
0.15,0.61,0.653,0.631,25322,16215,13437,B1,B1 (YOLO11s-960)
0.2,0.668,0.629,0.648,24370,12129,14389,B1,B1 (YOLO11s-960)
0.25,0.717,0.604,0.656,23419,9264,15340,B1,B1 (YOLO11s-960)
0.3,0.756,0.579,0.656,22441,7226,16318,B1,B1 (YOLO11s-960)
0.35,0.791,0.551,0.649,21345,5637,17414,B1,B1 (YOLO11s-960)
0.4,0.819,0.521,0.637,20207,4473,18552,B1,B1 (YOLO11s-960)
0.45,0.843,0.49,0.619,18980,3540,19779,B1,B1 (YOLO11s-960)
0.5,0.866,0.457,0.598,17715,2738,21044,B1,B1 (YOLO11s-960)
0.55,0.885,0.42,0.57,16279,2123,22480,B1,B1 (YOLO11s-960)
0.6,0.902,0.377,0.532,14616,1585,24143,B1,B1 (YOLO11s-960)
0.65,0.919,0.333,0.488,12890,1142,25869,B1,B1 (YOLO11s-960)
0.7,0.931,0.284,0.435,11014,819,27745,B1,B1 (YOLO11s-960)
0.75,0.944,0.231,0.371,8942,530,29817,B1,B1 (YOLO11s-960)
0.8,0.955,0.17,0.288,6577,312,32182,B1,B1 (YOLO11s-960)
0.85,0.965,0.093,0.17,3623,133,35136,B1,B1 (YOLO11s-960)
0.9,0.971,0.022,0.043,857,26,37902,B1,B1 (YOLO11s-960)
0.95,0.0,0.0,0.0,0,1,38759,B1,B1 (YOLO11s-960)
0.05,0.449,0.757,0.564,29327,35938,9432,B2,B2 (YOLO11s-1280)
0.1,0.559,0.73,0.633,28289,22301,10470,B2,B2 (YOLO11s-1280)
0.15,0.634,0.704,0.667,27296,15753,11463,B2,B2 (YOLO11s-1280)
0.2,0.692,0.68,0.686,26341,11724,12418,B2,B2 (YOLO11s-1280)
0.25,0.735,0.655,0.693,25378,9147,13381,B2,B2 (YOLO11s-1280)
0.3,0.773,0.628,0.693,24324,7133,14435,B2,B2 (YOLO11s-1280)
0.35,0.804,0.6,0.687,23259,5655,15500,B2,B2 (YOLO11s-1280)
0.4,0.833,0.57,0.677,22084,4425,16675,B2,B2 (YOLO11s-1280)
0.45,0.857,0.537,0.66,20814,3486,17945,B2,B2 (YOLO11s-1280)
0.5,0.877,0.499,0.636,19347,2701,19412,B2,B2 (YOLO11s-1280)
0.55,0.895,0.457,0.605,17705,2074,21054,B2,B2 (YOLO11s-1280)
0.6,0.911,0.407,0.563,15785,1533,22974,B2,B2 (YOLO11s-1280)
0.65,0.926,0.354,0.512,13705,1091,25054,B2,B2 (YOLO11s-1280)
0.7,0.937,0.296,0.449,11457,773,27302,B2,B2 (YOLO11s-1280)
0.75,0.946,0.233,0.375,9050,514,29709,B2,B2 (YOLO11s-1280)
0.8,0.954,0.166,0.283,6449,313,32310,B2,B2 (YOLO11s-1280)
0.85,0.964,0.09,0.164,3470,131,35289,B2,B2 (YOLO11s-1280)
0.9,0.977,0.019,0.037,732,17,38027,B2,B2 (YOLO11s-1280)
0.95,0.0,0.0,0.0,0,0,38759,B2,B2 (YOLO11s-1280)
0.05,0.461,0.741,0.568,28708,33628,10051,B3,B3 (YOLO11m-960)
0.1,0.565,0.718,0.632,27820,21428,10939,B3,B3 (YOLO11m-960)
0.15,0.634,0.696,0.664,26994,15592,11765,B3,B3 (YOLO11m-960)
0.2,0.686,0.675,0.68,26144,11973,12615,B3,B3 (YOLO11m-960)
0.25,0.727,0.651,0.687,25238,9463,13521,B3,B3 (YOLO11m-960)
0.3,0.763,0.627,0.688,24285,7547,14474,B3,B3 (YOLO11m-960)
0.35,0.795,0.602,0.685,23314,6025,15445,B3,B3 (YOLO11m-960)
0.4,0.823,0.575,0.677,22288,4804,16471,B3,B3 (YOLO11m-960)
0.45,0.848,0.546,0.664,21149,3803,17610,B3,B3 (YOLO11m-960)
0.5,0.871,0.512,0.645,19861,2943,18898,B3,B3 (YOLO11m-960)
0.55,0.891,0.476,0.621,18460,2257,20299,B3,B3 (YOLO11m-960)
0.6,0.907,0.432,0.586,16762,1722,21997,B3,B3 (YOLO11m-960)
0.65,0.922,0.381,0.54,14781,1244,23978,B3,B3 (YOLO11m-960)
0.7,0.935,0.322,0.479,12485,863,26274,B3,B3 (YOLO11m-960)
0.75,0.948,0.259,0.407,10044,549,28715,B3,B3 (YOLO11m-960)
0.8,0.96,0.185,0.31,7174,296,31585,B3,B3 (YOLO11m-960)
0.85,0.968,0.094,0.172,3657,120,35102,B3,B3 (YOLO11m-960)
0.9,0.983,0.018,0.035,688,12,38071,B3,B3 (YOLO11m-960)
0.95,0.5,0.0,0.0,1,1,38758,B3,B3 (YOLO11m-960)
