Experiment,Model_Config,Size_Category,GT_Objects,AP50,AP50-95,Precision,Recall
A,A (YOLO11n-640),Small,26586,0.255,0.141,1.0,0.45
A,A (YOLO11n-640),Medium,11105,0.55,0.389,1.0,0.824
A,A (YOLO11n-640),Large,1068,0.573,0.498,1.0,0.923
A,A (YOLO11n-640),All,38759,0.437,0.269,1.0,0.571
B1,B1 (YOLO11s-960),Small,26586,0.393,0.198,0.682,0.669
B1,B1 (YOLO11s-960),Medium,11105,0.616,0.477,1.0,0.889
B1,B1 (YOLO11s-960),Large,1068,0.578,0.514,0.891,0.91
B1,B1 (YOLO11s-960),All,38759,0.609,0.386,0.981,0.739
B2,B2 (YOLO11s-1280),Small,26586,0.455,0.24,0.702,0.739
B2,B2 (YOLO11s-1280),Medium,11105,0.647,0.498,1.0,0.904
B2,B2 (YOLO11s-1280),Large,1068,0.513,0.456,0.887,0.922
B2,B2 (YOLO11s-1280),All,38759,0.643,0.423,1.0,0.791
B3,B3 (YOLO11m-960),Small,26586,0.442,0.224,0.699,0.71
B3,B3 (YOLO11m-960),Medium,11105,0.629,0.48,0.837,0.905
B3,B3 (YOLO11m-960),Large,1068,0.6,0.536,1.0,0.92
B3,B3 (YOLO11m-960),All,38759,0.642,0.416,1.0,0.772
