Experiment,Model_Config,Class_ID,Class_Name,Is_Weak_Group,AP50,AP50-95,Precision,Recall
A,A (YOLO11n-640),0,pedestrian,True,0.311,0.126,0.401,0.362
A,A (YOLO11n-640),1,people,True,0.226,0.073,0.441,0.257
A,A (YOLO11n-640),2,bicycle,True,0.058,0.021,0.201,0.096
A,A (YOLO11n-640),3,car,False,0.72,0.474,0.587,0.755
A,A (YOLO11n-640),4,van,False,0.331,0.223,0.44,0.341
A,A (YOLO11n-640),5,truck,False,0.282,0.181,0.463,0.293
A,A (YOLO11n-640),6,tricycle,True,0.17,0.093,0.382,0.202
A,A (YOLO11n-640),7,awning-tricycle,True,0.083,0.051,0.254,0.141
A,A (YOLO11n-640),8,bus,False,0.423,0.278,0.52,0.426
A,A (YOLO11n-640),9,motor,True,0.307,0.118,0.446,0.349
B1,B1 (YOLO11s-960),0,pedestrian,True,0.566,0.27,0.629,0.546
B1,B1 (YOLO11s-960),1,people,True,0.427,0.168,0.619,0.41
B1,B1 (YOLO11s-960),2,bicycle,True,0.258,0.12,0.442,0.251
B1,B1 (YOLO11s-960),3,car,False,0.846,0.602,0.79,0.835
B1,B1 (YOLO11s-960),4,van,False,0.512,0.365,0.597,0.508
B1,B1 (YOLO11s-960),5,truck,False,0.413,0.284,0.57,0.424
B1,B1 (YOLO11s-960),6,tricycle,True,0.367,0.211,0.477,0.418
B1,B1 (YOLO11s-960),7,awning-tricycle,True,0.18,0.112,0.382,0.209
B1,B1 (YOLO11s-960),8,bus,False,0.608,0.451,0.78,0.566
B1,B1 (YOLO11s-960),9,motor,True,0.557,0.264,0.613,0.557
B2,B2 (YOLO11s-1280),0,pedestrian,True,0.63,0.314,0.703,0.587
B2,B2 (YOLO11s-1280),1,people,True,0.496,0.21,0.659,0.465
B2,B2 (YOLO11s-1280),2,bicycle,True,0.339,0.168,0.537,0.313
B2,B2 (YOLO11s-1280),3,car,False,0.872,0.633,0.83,0.848
B2,B2 (YOLO11s-1280),4,van,False,0.562,0.414,0.629,0.554
B2,B2 (YOLO11s-1280),5,truck,False,0.489,0.34,0.57,0.511
B2,B2 (YOLO11s-1280),6,tricycle,True,0.426,0.253,0.541,0.437
B2,B2 (YOLO11s-1280),7,awning-tricycle,True,0.207,0.128,0.408,0.263
B2,B2 (YOLO11s-1280),8,bus,False,0.679,0.515,0.831,0.608
B2,B2 (YOLO11s-1280),9,motor,True,0.634,0.314,0.64,0.644
B3,B3 (YOLO11m-960),0,pedestrian,True,0.623,0.311,0.694,0.585
B3,B3 (YOLO11m-960),1,people,True,0.488,0.204,0.65,0.474
B3,B3 (YOLO11m-960),2,bicycle,True,0.336,0.162,0.502,0.33
B3,B3 (YOLO11m-960),3,car,False,0.874,0.632,0.81,0.86
B3,B3 (YOLO11m-960),4,van,False,0.564,0.411,0.64,0.548
B3,B3 (YOLO11m-960),5,truck,False,0.488,0.346,0.633,0.469
B3,B3 (YOLO11m-960),6,tricycle,True,0.422,0.247,0.53,0.455
B3,B3 (YOLO11m-960),7,awning-tricycle,True,0.21,0.132,0.411,0.261
B3,B3 (YOLO11m-960),8,bus,False,0.671,0.51,0.741,0.628
B3,B3 (YOLO11m-960),9,motor,True,0.629,0.307,0.656,0.617
