Experiment,Model_Config,Corruption,Clean_mAP50,Mean_Corrupted_mAP50,Mean_mAP50_Drop,Mean_Retention_Rate,Relative_Drop_%
A,A (YOLO11n-640),Gaussian Blur,0.291,0.289,0.002,99.5,0.5
A,A (YOLO11n-640),Gaussian Noise,0.291,0.18,0.111,61.93333333333334,38.1
A,A (YOLO11n-640),JPEG Compression,0.291,0.284,0.007,97.63333333333333,2.4
A,A (YOLO11n-640),Low Light,0.291,0.29,0.001,99.60000000000001,0.4
A,A (YOLO11n-640),Motion Blur,0.291,0.202,0.088,69.63333333333334,30.4
A,A (YOLO11n-640),Occlusion,0.291,0.238,0.053,81.8,18.2
A,A (YOLO11n-640),Overexposure,0.291,0.272,0.019,93.63333333333333,6.4
A,A (YOLO11n-640),Resolution Degrade,0.291,0.284,0.006,97.86666666666667,2.1
B1,B1 (YOLO11s-960),Gaussian Blur,0.459,0.417,0.041,90.96666666666665,9.0
B1,B1 (YOLO11s-960),Gaussian Noise,0.459,0.257,0.202,56.03333333333333,44.0
B1,B1 (YOLO11s-960),JPEG Compression,0.459,0.431,0.028,93.83333333333333,6.2
B1,B1 (YOLO11s-960),Low Light,0.459,0.459,0.0,99.96666666666665,0.0
B1,B1 (YOLO11s-960),Motion Blur,0.459,0.272,0.187,59.333333333333336,40.7
B1,B1 (YOLO11s-960),Occlusion,0.459,0.401,0.058,87.39999999999999,12.6
B1,B1 (YOLO11s-960),Overexposure,0.459,0.447,0.012,97.43333333333334,2.6
B1,B1 (YOLO11s-960),Resolution Degrade,0.459,0.38,0.079,82.8,17.2
B2,B2 (YOLO11s-1280),Gaussian Blur,0.519,0.45,0.069,86.7,13.3
B2,B2 (YOLO11s-1280),Gaussian Noise,0.519,0.312,0.207,60.03333333333333,40.0
B2,B2 (YOLO11s-1280),JPEG Compression,0.519,0.472,0.046,91.06666666666666,8.9
B2,B2 (YOLO11s-1280),Low Light,0.519,0.514,0.005,98.93333333333334,1.1
B2,B2 (YOLO11s-1280),Motion Blur,0.519,0.268,0.251,51.56666666666666,48.4
B2,B2 (YOLO11s-1280),Occlusion,0.519,0.442,0.077,85.16666666666667,14.8
B2,B2 (YOLO11s-1280),Overexposure,0.519,0.498,0.02,96.06666666666666,3.9
B2,B2 (YOLO11s-1280),Resolution Degrade,0.519,0.393,0.126,75.73333333333333,24.3
B3,B3 (YOLO11m-960),Gaussian Blur,0.512,0.471,0.041,91.96666666666665,8.0
B3,B3 (YOLO11m-960),Gaussian Noise,0.512,0.293,0.219,57.199999999999996,42.8
B3,B3 (YOLO11m-960),JPEG Compression,0.512,0.471,0.04,92.03333333333335,8.0
B3,B3 (YOLO11m-960),Low Light,0.512,0.515,-0.003,100.56666666666666,-0.6
B3,B3 (YOLO11m-960),Motion Blur,0.512,0.293,0.219,57.300000000000004,42.7
B3,B3 (YOLO11m-960),Occlusion,0.512,0.448,0.064,87.60000000000001,12.4
B3,B3 (YOLO11m-960),Overexposure,0.512,0.488,0.024,95.36666666666667,4.6
B3,B3 (YOLO11m-960),Resolution Degrade,0.512,0.408,0.104,79.66666666666667,20.3
