Metric,Value
model_name,best
model_path,experiments/baseline_yolo11n/weights/best.pt
model_format,PyTorch
num_parameters_m,2.59
model_size_mb,5.2
device,CUDA:0
imgsz,640
iterations,60
warmup,25
inference_mean_ms,11.55
inference_std_ms,3.08
inference_min_ms,8.52
inference_max_ms,23.74
inference_p50_ms,10.91
inference_p95_ms,18.21
inference_p99_ms,22.99
preprocess_mean_ms,1.87
postprocess_mean_ms,0.63
e2e_latency_mean_ms,14.05
e2e_latency_std_ms,3.67
e2e_latency_p95_ms,23.1
fps_model,86.6
fps_e2e,71.2
avg_cpu_percent,24.1
peak_vram_mb,56.5
avg_ram_mb,1801.7
